Title,Year,Rating,Showtime,IMDB Link
The Shawshank Redemption,1994,9.3,2h 22m,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1
The Godfather,1972,9.2,2h 55m,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2
The Dark Knight,2008,9.0,2h 32m,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3
The Godfather Part II,1974,9.0,3h 22m,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4
12 Angry Men,1957,9.0,1h 36m,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5
The Lord of the Rings: The Return of the King,2003,9.0,3h 21m,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_6
Schindler's List,1993,9.0,3h 15m,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_7
Pulp Fiction,1994,8.9,2h 34m,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_8
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2h 58m,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_9
"The Good, the Bad and the Ugly",1966,8.8,2h 41m,https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10
Forrest Gump,1994,8.8,2h 22m,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_11
The Lord of the Rings: The Two Towers,2002,8.8,2h 59m,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_12
Fight Club,1999,8.8,2h 19m,https://www.imdb.com/title/tt0137523/?ref_=chttp_i_13
Inception,2010,8.8,2h 28m,https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4m,https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15
The Matrix,1999,8.7,2h 16m,https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16
GoodFellas,1990,8.7,2h 25m,https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17
One Flew Over the Cuckoo's Nest,1975,8.7,2h 13m,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_18
Interstellar,2014,8.7,2h 49m,https://www.imdb.com/title/tt0816692/?ref_=chttp_i_19
Se7en,1995,8.6,2h 7m,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_20
It's a Wonderful Life,1946,8.6,2h 10m,https://www.imdb.com/title/tt0038650/?ref_=chttp_i_21
Shichinin no samurai,1954,8.6,3h 27m,https://www.imdb.com/title/tt0047478/?ref_=chttp_i_22
The Silence of the Lambs,1991,8.6,1h 58m,https://www.imdb.com/title/tt0102926/?ref_=chttp_i_23
Saving Private Ryan,1998,8.6,2h 49m,https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24
Cidade de Deus,2002,8.6,2h 10m,https://www.imdb.com/title/tt0317248/?ref_=chttp_i_25
