Title,Year,Rating,Link
L.A. Confidential,1997,99%,https://www.rottentomatoes.com/m/la_confidential
The Godfather,1972,97%,https://www.rottentomatoes.com/m/the_godfather
Casablanca,1942,99%,https://www.rottentomatoes.com/m/1003707-casablanca
Seven Samurai,1954,100%,https://www.rottentomatoes.com/m/seven_samurai_1956
Parasite,2019,99%,https://www.rottentomatoes.com/m/parasite_2019
Schindler's List,1993,98%,https://www.rottentomatoes.com/m/schindlers_list
Top Gun: Maverick,2022,96%,https://www.rottentomatoes.com/m/top_gun_maverick
Toy Story 2,1999,100%,https://www.rottentomatoes.com/m/toy_story_2
Chinatown,1974,98%,https://www.rottentomatoes.com/m/chinatown
On the Waterfront,1954,99%,https://www.rottentomatoes.com/m/on_the_waterfront
The Battle of Algiers,1966,99%,https://www.rottentomatoes.com/m/the_battle_of_algiers
Toy Story,1995,100%,https://www.rottentomatoes.com/m/toy_story
Rear Window,1954,98%,https://www.rottentomatoes.com/m/1017289-rear_window
Modern Times,1936,98%,https://www.rottentomatoes.com/m/modern_times
How to Train Your Dragon,2010,99%,https://www.rottentomatoes.com/m/how_to_train_your_dragon
All About Eve,1950,99%,https://www.rottentomatoes.com/m/1000626-all_about_eve
Spirited Away,2001,96%,https://www.rottentomatoes.com/m/spirited_away
Up,2009,98%,https://www.rottentomatoes.com/m/up
The Third Man,1949,99%,https://www.rottentomatoes.com/m/the_third_man
Spotlight,2015,97%,https://www.rottentomatoes.com/m/spotlight_2015
Spider-Man: Into the Spider-Verse,2018,97%,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse
The Philadelphia Story,1940,100%,https://www.rottentomatoes.com/m/philadelphia_story
Finding Nemo,2003,99%,https://www.rottentomatoes.com/m/finding_nemo
Singin' in the Rain,1952,100%,https://www.rottentomatoes.com/m/singin_in_the_rain
12 Angry Men,1957,100%,https://www.rottentomatoes.com/m/1000013_12_angry_men
Toy Story 3,2010,98%,https://www.rottentomatoes.com/m/toy_story_3
Sunset Boulevard,1950,98%,https://www.rottentomatoes.com/m/sunset_boulevard
Coco,2017,97%,https://www.rottentomatoes.com/m/coco_2017
"The Godfather, Part II",1974,96%,https://www.rottentomatoes.com/m/godfather_part_ii
